race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Valtteri Bottas,77,Finnish,Mercedes,2,57,1:25:27.325,26.0,1,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Lewis Hamilton,44,British,Mercedes,2,54,1:35:50.443,26.0,1,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Max Verstappen,33,Dutch,Red Bull,2,60,1:22:01.822,26.0,1,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Lewis Hamilton,44,British,Mercedes,2,52,1:21:08.452,26.0,1,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Max Verstappen,33,Dutch,Red Bull,2,61,1:44:31.275,26.0,1,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Lewis Hamilton,44,British,Mercedes,2,51,1:33:38.992,26.0,1,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Lewis Hamilton,44,British,Mercedes,1,53,1:34:05.715,26.0,1,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Lewis Hamilton,44,British,Mercedes,1,70,1:36:12.473,26.0,1,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Lewis Hamilton,44,British,Mercedes,1,58,2:19:35.060,26.0,1,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Valtteri Bottas,77,Finnish,Mercedes,3,51,1:34:00.364,26.0,1,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Lewis Hamilton,44,British,Mercedes,1,63,1:29:56.828,26.0,1,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Lewis Hamilton,44,British,Mercedes,2,63,1:28:32.430,26.0,1,2024-07-12T11:40:19.668-07:00
