race_id,race_year,round,circuiit_id,name,race_timestamp,ingestion_date
1,2009,1,1,Australian Grand Prix,2009-03-29T06:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
2,2009,2,2,Malaysian Grand Prix,2009-04-05T09:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
3,2009,3,17,Chinese Grand Prix,2009-04-19T07:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
4,2009,4,3,Bahrain Grand Prix,2009-04-26T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
5,2009,5,4,Spanish Grand Prix,2009-05-10T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
6,2009,6,6,Monaco Grand Prix,2009-05-24T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
7,2009,7,5,Turkish Grand Prix,2009-06-07T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
8,2009,8,9,British Grand Prix,2009-06-21T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
9,2009,9,20,German Grand Prix,2009-07-12T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
10,2009,10,11,Hungarian Grand Prix,2009-07-26T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
11,2009,11,12,European Grand Prix,2009-08-23T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
12,2009,12,13,Belgian Grand Prix,2009-08-30T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
13,2009,13,14,Italian Grand Prix,2009-09-13T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
14,2009,14,15,Singapore Grand Prix,2009-09-27T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
15,2009,15,22,Japanese Grand Prix,2009-10-04T05:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
16,2009,16,18,Brazilian Grand Prix,2009-10-18T16:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01T11:00:00.000-08:00,2024-07-10T01:25:05.808-07:00
18,2008,1,1,Australian Grand Prix,2008-03-16T04:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
19,2008,2,2,Malaysian Grand Prix,2008-03-23T07:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
20,2008,3,3,Bahrain Grand Prix,2008-04-06T11:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
21,2008,4,4,Spanish Grand Prix,2008-04-27T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
22,2008,5,5,Turkish Grand Prix,2008-05-11T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
23,2008,6,6,Monaco Grand Prix,2008-05-25T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
24,2008,7,7,Canadian Grand Prix,2008-06-08T17:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
25,2008,8,8,French Grand Prix,2008-06-22T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
26,2008,9,9,British Grand Prix,2008-07-06T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
27,2008,10,10,German Grand Prix,2008-07-20T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
28,2008,11,11,Hungarian Grand Prix,2008-08-03T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
29,2008,12,12,European Grand Prix,2008-08-24T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
30,2008,13,13,Belgian Grand Prix,2008-09-07T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
31,2008,14,14,Italian Grand Prix,2008-09-14T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
32,2008,15,15,Singapore Grand Prix,2008-09-28T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
33,2008,16,16,Japanese Grand Prix,2008-10-12T04:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
34,2008,17,17,Chinese Grand Prix,2008-10-19T07:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
35,2008,18,18,Brazilian Grand Prix,2008-11-02T17:00:00.000-08:00,2024-07-10T01:25:05.808-07:00
36,2007,1,1,Australian Grand Prix,2007-03-18T03:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
37,2007,2,2,Malaysian Grand Prix,2007-04-08T07:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
38,2007,3,3,Bahrain Grand Prix,2007-04-15T11:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
39,2007,4,4,Spanish Grand Prix,2007-05-13T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
40,2007,5,6,Monaco Grand Prix,2007-05-27T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
41,2007,6,7,Canadian Grand Prix,2007-06-10T17:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
42,2007,7,19,United States Grand Prix,2007-06-17T17:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
43,2007,8,8,French Grand Prix,2007-07-01T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
44,2007,9,9,British Grand Prix,2007-07-08T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
45,2007,10,20,European Grand Prix,2007-07-22T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
46,2007,11,11,Hungarian Grand Prix,2007-08-05T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
47,2007,12,5,Turkish Grand Prix,2007-08-26T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
48,2007,13,14,Italian Grand Prix,2007-09-09T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
49,2007,14,13,Belgian Grand Prix,2007-09-16T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
50,2007,15,16,Japanese Grand Prix,2007-09-30T04:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
51,2007,16,17,Chinese Grand Prix,2007-10-07T06:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
52,2007,17,18,Brazilian Grand Prix,2007-10-21T16:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
53,2006,1,3,Bahrain Grand Prix,2006-03-12T14:30:00.000-08:00,2024-07-10T01:25:05.808-07:00
54,2006,2,2,Malaysian Grand Prix,2006-03-19T15:00:00.000-08:00,2024-07-10T01:25:05.808-07:00
55,2006,3,1,Australian Grand Prix,2006-04-02T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
56,2006,4,21,San Marino Grand Prix,2006-04-23T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
57,2006,5,20,European Grand Prix,2006-05-07T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
58,2006,6,4,Spanish Grand Prix,2006-05-14T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
59,2006,7,6,Monaco Grand Prix,2006-05-28T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
60,2006,8,9,British Grand Prix,2006-06-11T12:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
61,2006,9,7,Canadian Grand Prix,2006-06-25T13:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
62,2006,10,19,United States Grand Prix,2006-07-02T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
63,2006,11,8,French Grand Prix,2006-07-16T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
64,2006,12,10,German Grand Prix,2006-07-30T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
65,2006,13,11,Hungarian Grand Prix,2006-08-06T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
66,2006,14,5,Turkish Grand Prix,2006-08-27T15:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
67,2006,15,14,Italian Grand Prix,2006-09-10T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
68,2006,16,17,Chinese Grand Prix,2006-10-01T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
69,2006,17,22,Japanese Grand Prix,2006-10-08T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
70,2006,18,18,Brazilian Grand Prix,2006-10-22T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
71,2005,1,1,Australian Grand Prix,2005-03-06T14:00:00.000-08:00,2024-07-10T01:25:05.808-07:00
72,2005,2,2,Malaysian Grand Prix,2005-03-20T15:00:00.000-08:00,2024-07-10T01:25:05.808-07:00
73,2005,3,3,Bahrain Grand Prix,2005-04-03T14:30:00.000-07:00,2024-07-10T01:25:05.808-07:00
74,2005,4,21,San Marino Grand Prix,2005-04-24T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
75,2005,5,4,Spanish Grand Prix,2005-05-08T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
76,2005,6,6,Monaco Grand Prix,2005-05-22T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
77,2005,7,20,European Grand Prix,2005-05-29T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
78,2005,8,7,Canadian Grand Prix,2005-06-12T13:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
79,2005,9,19,United States Grand Prix,2005-06-19T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
80,2005,10,8,French Grand Prix,2005-07-03T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
81,2005,11,9,British Grand Prix,2005-07-10T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
82,2005,12,10,German Grand Prix,2005-07-24T14:00:00.000-07:00,2024-07-10T01:25:05.808-07:00
