race_id,round,circuiit_id,name,race_timestamp,ingestion_date
467,1,30,South African Grand Prix,"",2024-07-10T01:25:19.559-07:00
468,2,36,Brazilian Grand Prix,"",2024-07-10T01:25:19.559-07:00
469,3,43,United States Grand Prix West,"",2024-07-10T01:25:19.559-07:00
470,4,21,San Marino Grand Prix,"",2024-07-10T01:25:19.559-07:00
471,5,40,Belgian Grand Prix,"",2024-07-10T01:25:19.559-07:00
472,6,6,Monaco Grand Prix,"",2024-07-10T01:25:19.559-07:00
473,7,37,Detroit Grand Prix,"",2024-07-10T01:25:19.559-07:00
474,8,7,Canadian Grand Prix,"",2024-07-10T01:25:19.559-07:00
475,9,39,Dutch Grand Prix,"",2024-07-10T01:25:19.559-07:00
476,10,38,British Grand Prix,"",2024-07-10T01:25:19.559-07:00
477,11,34,French Grand Prix,"",2024-07-10T01:25:19.559-07:00
478,12,10,German Grand Prix,"",2024-07-10T01:25:19.559-07:00
479,13,23,Austrian Grand Prix,"",2024-07-10T01:25:19.559-07:00
480,14,41,Swiss Grand Prix,"",2024-07-10T01:25:19.559-07:00
481,15,14,Italian Grand Prix,"",2024-07-10T01:25:19.559-07:00
482,16,44,Caesars Palace Grand Prix,"",2024-07-10T01:25:19.559-07:00
