result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
2733,30,6,1,1,1,1,1,10.0,67,1:29:42.724,5382724,"","",\N,"",2024-07-10T19:27:23.644-07:00
2734,31,3,6,3,2,2,2,6.0,67,+4.127,5386851,"","",\N,"",2024-07-10T19:27:23.644-07:00
2735,14,1,4,5,3,3,3,4.0,67,+24.993,5407717,"","",\N,"",2024-07-10T19:27:23.644-07:00
2736,23,3,5,2,4,4,4,3.0,67,+33.345,5416069,"","",\N,"",2024-07-10T19:27:23.644-07:00
2737,22,6,2,4,5,5,5,2.0,67,+45.495,5428219,"","",\N,"",2024-07-10T19:27:23.644-07:00
2738,57,1,3,6,6,6,6,1.0,67,+1:04.868,5447592,"","",\N,"",2024-07-10T19:27:23.644-07:00
2739,56,19,18,12,7,7,7,0.0,67,+1:06.198,5448922,"","",\N,"",2024-07-10T19:27:23.644-07:00
2740,37,19,19,16,8,8,8,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2741,35,16,10,11,9,9,9,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2742,8,15,17,9,10,10,10,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2743,21,22,7,15,11,11,11,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2744,54,20,23,17,12,12,12,0.0,65,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2745,18,22,8,20,13,13,13,0.0,65,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2746,4,18,21,21,14,14,14,0.0,65,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2747,55,20,22,14,15,15,15,0.0,64,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2748,50,21,14,19,"",R,16,0.0,58,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2749,2,15,16,10,"",R,17,0.0,54,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2750,49,17,11,8,"",R,18,0.0,48,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2751,15,17,12,7,"",R,19,0.0,44,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2752,59,21,15,18,"",R,20,0.0,29,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2753,44,16,9,13,"",R,21,0.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2754,58,18,20,22,"",R,22,0.0,7,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
