id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Gate location,Food and drink,Online boarding,Cleanliness,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Departure/Arrival time convenient,Arrival Delay in Minutes,Departure Delay in Minutes
1001,Male,Loyal Customer,52,Business travel,Eco,89,5,2,2,5,5,5,5,5,1,3,2,2,4,2,0,0
1011,Male,disloyal Customer,30,Business travel,Eco,89,4,4,4,4,4,4,4,4,2,3,3,1,4,4,0,0
10269,Male,Loyal Customer,27,Personal Travel,Business,74,2,2,4,5,2,5,5,5,2,4,3,1,1,4,1,1
1030,Female,disloyal Customer,27,Business travel,Eco,89,3,3,4,2,3,2,2,2,3,3,3,2,4,0,82,81
1031,Female,disloyal Customer,19,Business travel,Eco,89,4,4,4,4,4,4,4,4,1,2,3,1,4,0,0,0
10342,Male,Loyal Customer,49,Business travel,Business,74,1,1,1,2,4,5,4,5,5,5,5,3,5,1,0,0
10393,Male,Loyal Customer,48,Business travel,Business,74,5,5,5,5,4,4,4,4,4,4,4,3,4,5,0,0
10450,Female,Loyal Customer,33,Business travel,Business,74,0,0,4,5,4,3,4,4,4,4,4,5,4,4,0,0
10512,Female,disloyal Customer,20,Business travel,Eco,74,2,3,3,5,3,5,4,5,3,2,5,3,5,4,4,0
10536,Male,Loyal Customer,52,Business travel,Business,74,5,3,5,5,4,3,5,4,4,4,5,3,4,5,0,0
10543,Male,disloyal Customer,20,Business travel,Eco,74,4,5,1,2,5,2,2,2,5,5,5,3,5,0,0,0
10548,Male,Loyal Customer,44,Business travel,Business,74,4,4,4,5,4,5,5,5,5,5,5,5,5,4,0,0
10549,Male,disloyal Customer,47,Business travel,Business,74,2,2,2,3,2,3,3,3,5,4,5,3,5,2,0,0
10563,Male,Loyal Customer,47,Business travel,Business,74,2,2,2,2,5,4,4,4,4,4,5,4,4,2,0,0
10588,Male,disloyal Customer,39,Business travel,Business,74,4,4,1,5,4,5,5,5,5,2,5,5,5,4,0,0
10620,Female,Loyal Customer,45,Business travel,Eco,74,1,3,3,3,4,1,3,1,1,1,1,4,1,3,0,0
10627,Male,Loyal Customer,54,Business travel,Business,74,0,0,3,3,4,4,5,1,1,1,1,4,1,5,0,0
10634,Male,Loyal Customer,27,Business travel,Eco,74,3,4,4,3,2,3,3,3,3,4,4,2,4,3,56,60
1066,Male,Loyal Customer,28,Personal Travel,Eco,89,4,4,3,1,4,1,1,1,5,4,5,3,4,5,0,0
10689,Female,Loyal Customer,43,Business travel,Eco,74,4,5,5,4,4,3,3,4,4,4,4,4,4,5,0,0
10698,Male,Loyal Customer,29,Business travel,Business,74,2,2,2,2,2,2,2,2,2,3,4,2,4,2,0,0
